Timestamp,What is your main discipline?,What sector do you work in?,What industry does your work related to?,What is your highest level of formal education?,How many years experience do you have working with subsurface data?,Do you think you have conceptual or other biases that impact your work?,Do you publish academic or industry literature?,Do you think there is a reproducibility problem in subsurface geoscience? Reproducibility = the ability to reproduce the results of your own or others' work.,"How much of the geoscience literature, do you think is reproducible? (0 = none, 10 = all)",Have you tried to reproduce your own results at a later date?,If yes please detail.,Have you tried to reproduce others' published results?,If yes please detail.,Have you published (or tried to publish) positive or negative replication findings?,If yes please detail.,Do you regularly write computer code as part of your work?,What practicalities make published results difficult to reproduce? [Access to data],What practicalities make published results difficult to reproduce? [Access to software],What practicalities make published results difficult to reproduce? [Assess to code],What practicalities make published results difficult to reproduce? [Access to journals],What practicalities make published results difficult to reproduce? [Journal standards],What practicalities make published results difficult to reproduce? [Lack of funding for reproducibility studies],What practicalities make published results difficult to reproduce? [Methods undocumented],What practicalities make published results difficult to reproduce? [Confidentiality/copyright issues],Please specify any other factors you think are important?,What factors contribute to irreproducible publications? [Reporting bias],What factors contribute to irreproducible publications? [Poor methodology],What factors contribute to irreproducible publications? [Questionable statistical validity],What factors contribute to irreproducible publications? [Poor/inadequate analysis],What factors contribute to irreproducible publications? [Poor project/experimental design],What factors contribute to irreproducible publications? [Inadequate peer review],What factors contribute to irreproducible publications? [Pressure to publish],What factors contribute to irreproducible publications? [Insufficient mentoring/supervision],What factors contribute to irreproducible publications? [Fraud],Please specify any other factors you think are important?,How could reproducibility be improved by authors? [Publish derived data (e.g. seismic horizons)],How could reproducibility be improved by authors? [Clearer separation of raw data from interpretation],How could reproducibility be improved by authors? [Detailed methods explanation],How could reproducibility be improved by authors? [More robust project/experimental design],How could reproducibility be improved by authors? [Increased statistical understanding],How could reproducibility be improved by authors? [Better teaching and mentoring],How could reproducibility be improved by authors? [Increased collaboration between research groups],How could reproducibility be improved by authors? [Pre-registration of hypotheses to third party (e.g. journal or external researcher)],Please specify any other factors you think are important?,"How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Incentives to publish reproduction studies]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Increased journal standards]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Modified journal correction process]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Incentives for replication studies]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Pre-registration of hypotheses to journal]",Please specify any other factors you think are important?
2020/06/02 4:24:40 PM GMT+1,Geology;Geology & Geophysics,Academia;Industry,"Research, Teaching and Communication;Oil & Gas","Masters (MSci, MSc, MS)",Oct-15,Yes (sometimes),Yes (sometimes),Yes (major),2,No,,No,,No,,Yes,Often,Often,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,,Yes,Maybe,Maybe,Yes,Yes,Maybe,Maybe,Maybe,,Maybe,Maybe,Maybe,Maybe,Maybe,
2020/06/02 4:27:01 PM GMT+1,Geology & Geophysics,Industry,Oil & Gas,"Masters (MSci, MSc, MS)",5-Oct,Yes (sometimes),Yes (sometimes),Unsure,5,No,,No,,No,,Yes,Often,,,,,,Often,Often,,,Often,,,,,,,,"Data is inaccessible, therefore reproduction unable. ",,Yes,Yes,,,,,,Are seismic horizons data? Is a processed seismic line data? Both are interpretations,Maybe,,Maybe,,,
2020/06/02 4:30:54 PM GMT+1,Geophysics,Academia,Natural Hazards & Risk,Post-Doctoral,Oct-15,Yes (sometimes),Yes (regularly),Yes (major),4,Yes,I have re-run calculations and recomputed results in response to questions from end-users of my models. ,Yes,"I develop open source software for scientists and often make reproduction of results in papers by other scientists a form of quality assurance test, sometimes added to the code base. More often than not it has required additional information or clarification from the authors of the model or method to reproduce their results correctly. Sometimes the results cannot be reproduced at all",No,,Yes,Often,Often,Often,Sometimes,Rarely,Sometimes,Often,Often,,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Often,Rarely,Rarely,,Yes,Yes,Yes,Maybe,Maybe,No,Maybe,No,,Yes,Maybe,No,Yes,No,
2020/06/02 4:34:31 PM GMT+1,Petrophysics,Academia,"Research, Teaching and Communication;Oil & Gas",Post-Doctoral,5-Oct,Yes (sometimes),Yes (regularly),Yes (major),4,Yes,"I've written a synthesis paper combining previous results into one big paper, and it worked pretty well because my code is fairly static by the time it makes publishable results.",Yes,"In one paper I tried to replicate Manmath Panda's modified Karman-Cozeny paper using his own data but was unable to because he did not include all the necessary parameters for his model.

In another paper I tried replicating Jerry Lucia's famous AAPG Bulletin paper on rock types. I was able to replicate his analysis but revealed major concerns with his data collection and analysis.",Yes,"See above. (Copied just in case)

In one paper I tried to replicate Manmath Panda's modified Karman-Cozeny paper using his own data but was unable to because he did not include all the necessary parameters for his model.

In another paper I tried replicating Jerry Lucia's famous rock typing paper. I was able to replicate his analysis but revealed major concerns with his data collection and analysis.",Yes,Often;Sometimes,Rarely,Often,Rarely,Rarely,Rarely,Often,Sometimes,,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,,Yes,Maybe,Yes,Maybe,Yes,Yes,Maybe,Maybe,"The idea of pre-registration is interesting, but in the geosciences hypothesis testing seems to be less important than identifying effect sizes and getting good predictions. Geoscientific data is so big and everything is correlated to everything, so it is relatively easy to reach p < 0.05.",Yes,No,Maybe,Yes,No,"Providing an easy way to share code, data, and detailed methods. Workshops on methodological and statistical rigor."
2020/06/02 4:41:09 PM GMT+1,Geophysics,Industry,Oil & Gas;Renewable Energy;Engineering Geology;Natural Hazards & Risk,"Bachelors (BSc, BS)",5-Oct,Yes (sometimes),Yes (sometimes),Yes (major),3,No,,Yes,I'm afraid I don't have permission to talk about it ...,No,,Yes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,,,Often,,,,Sometimes,Sometimes,Rarely,Sometimes,,Yes,No,Yes,Maybe,Maybe,Maybe,Maybe,,,Yes,Yes,,Yes,,
2020/06/02 4:48:04 PM GMT+1,Geology,Academia,Oil & Gas,"Masters (MSci, MSc, MS)",5-Oct,Yes (sometimes),Yes (sometimes),Yes (minor),3,Yes,,No,,No,,No,Often,Often,Often,Sometimes,Sometimes,Often,Often,Often,,Often,Often,Often,Often,Often,Sometimes,Sometimes,Often,Often,,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,,Yes,Yes,Yes,Yes,Yes,
2020/06/02 4:50:50 PM GMT+1,Geology,Government,Renewable Energy;Environmental Geology and Contaminated Land;Hydrogeology,Doctoral (PhD),,Yes (regularly),Yes (regularly),Yes (minor),5,Yes,,No,,No,,No,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
2020/06/02 4:56:40 PM GMT+1,Geology,Industry,Oil & Gas,Doctoral (PhD),15-20,Yes (regularly),Yes (sometimes),Yes (major),7,Yes,I have redone my work for different companies. Sometimes I wonder what was thinking on the past. Didnâ€™t make sense. But generally my interpretation improved over time.,Yes,"I take anyoneâ€™s correlations to check against my own . Sometimes those persons correlations are poorly documented and nonsensical from a stratigraphic view, reflecting my bias as to how stratigraphy behaves on view of good seismic data.
",No,,No,Often,,,,Often,,Often,Often,,Sometimes,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes;Rarely,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Maybe,Yes,Yes,Maybe,Maybe,
2020/06/02 5:01:14 PM GMT+1,Geology,Academia,Oil & Gas,"Masters (MSci, MSc, MS)",5-Oct,Yes (sometimes),Yes (sometimes),Yes (minor),3,Yes,,No,,No,,No,Often,Often,Often,Sometimes,Sometimes,Often,Often,Often,,Often,Often,Often,Often,Often,Sometimes,Sometimes,Often,Often,,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,,Yes,Yes,Yes,Yes,Yes,
2020/06/02 5:03:30 PM GMT+1,Geology & Geophysics,Industry,Oil & Gas,"Masters (MSci, MSc, MS)",5-Oct,Yes (regularly),No,Yes (major),3,Yes,,Yes,,No,,Yes,Often,Often,Often,Rarely,Rarely,Rarely,Often,Rarely,,Often,Often,Often,Often,Often,Often,Often,Often,Rarely,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,
2020/06/02 5:06:20 PM GMT+1,Geophysics,Academia,"Research, Teaching and Communication",Post-Doctoral,20+,Yes (sometimes),Yes (regularly),Yes (major),1,Yes,Using Madagascar,Yes,"textbooks, tutorials",No,,Yes,Often,Often,Often,Sometimes,Rarely,Sometimes,Often,Sometimes,,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Rarely,Cultural resistance,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Maybe,Yes,Maybe,"Open competition/contests, reproducibility hackathons"
2020/06/02 5:06:21 PM GMT+1,Geology & Geophysics,Industry,Oil & Gas;Renewable Energy,Doctoral (PhD),20+,Yes (regularly),Yes (sometimes),Yes (major),5,No,,Yes,"I've done this several times with numerical models, and have tried to replicate others' field results.",No,,Yes,Often,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Often,,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,,Yes,Maybe,Maybe,Maybe,Maybe,
2020/06/02 5:12:04 PM GMT+1,Geophysics,Industry,Oil & Gas,"Masters (MSci, MSc, MS)",Oct-15,Yes (regularly),No,Yes (major),6,No,,No,,No,,No,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes;Rarely,Often;Sometimes,Sometimes;Rarely,Rarely,,Yes,Yes,Yes,Yes;Maybe,Yes,Yes,Yes,Maybe,,Yes,Yes,Maybe,Yes,Maybe,
2020/06/02 5:14:15 PM GMT+1,Geophysics,Academia,"Research, Teaching and Communication;Oil & Gas","Bachelors (BSc, BS)",0-5,Yes (sometimes),Yes (regularly),Yes (major),2,Yes,"I can generally reproduce most of the results, as long as the data are still available. My research paradigm is to ensure my work is reproducible though.",Yes,"It's generally easy enough to reproduce the results if the data are available and the code is public/reproducible, like in Madagascar. This is mostly not the case though, and when it's not easily reproducible it's usually not worth the amount of effort it takes to reproduce the results from scratch since some workflows can be quite complicated and typically the data originally used aren't available, so you never really know if your attempt at reproducing is correct or not.",No,"Not published in a journal exactly but I've done things like the ReproZoo at SEG in 2018 and https://github.com/ahay/src/tree/master/book/rsf/tutorials/timefreq 
Which the code I reproduced is publicly available ",Yes,Often,Sometimes,Often,Rarely,Rarely,Sometimes,Often,Often,"Already listed, but access to data is definitely the number one thing I've encountered. It's a problem in almost all of my attempts to reproduce unless the data are explicitly given. ",Often,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Often,Sometimes,Rarely,,Yes,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,Ensuring that the original data used is available to verify that the results are correctly reproduced.,Yes,Yes,Maybe,Maybe,Maybe,Not a note explicitly for this box but you should consider talking to Luke Decker or Sergey Fomel (both at UT Austin) about this topic.
2020/06/02 5:17:28 PM GMT+1,Geophysics,Academia,Hydrogeology,Post-Doctoral,Oct-15,Yes (sometimes),Yes (regularly),Yes (minor),2,No,,Yes,"On two occasions, the results were reproduced for synthetic studies only. On one occasion, results could not be reproduced and demonstrated results contrary to three conclusions. ",No,,Yes,Often,Sometimes,Sometimes,Rarely,Rarely,Often,Rarely,Sometimes,Motivation,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,,Yes,Yes,Yes,Maybe,No,Maybe,No,No,,Yes,Maybe,Yes,Yes,No,
2020/06/02 5:17:56 PM GMT+1,Geology;Digital Geology and Computing,Government,"Research, Teaching and Communication;Mining & Quarrying;Oil & Gas;Hydrogeology;Natural Hazards & Risk",Post-Doctoral,20+,Yes (regularly),Yes (regularly),Yes (major),2,Yes,,Yes,,No,,Yes,Often,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Sometimes,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Maybe,,Yes,Yes,Yes,Yes,Maybe,
2020/06/02 5:19:50 PM GMT+1,Geophysics,Academia,Oil & Gas;Natural Hazards & Risk;engineering geophysics,Doctoral (PhD),5-Oct,Yes (regularly),Yes (regularly),Yes (major),4,Yes,Biggest issue is software version changes or migrating code to new clusters when reproducing my own results. I'm strict about makefiles and start-to-finish reproducibility following standards common to SEP and Madagascar. ,Yes,"(1) Used data from DOE Geothermal Repository to try to reproduce results for near surface imaging and seismic event detection. Original data acquisition group was willing to provide low frequency velocity model upon request, and I think  they added it to the repo after that. (2) Tried to verify efficiency claims of parallel ambient seismic noise algorithms detailed in papers by one author. All links were broken in one paper claiming public code, and other paper didn't even attempt to claim code was public. I tried to get copies of the code repeatedly by email to the main author, by reaching out to a student using the code at his university, by having a friend of mine who was his colleague inquire. ",Yes,"Some papers outlined a new methodology for seismic recording at a couple of locations, and we used a similar method in a different geological setting. We included the validation and calibration steps in a paper about  the new experiment alongside new contributions (to submit in near future, so unclear what reaction will be from reviewers).",Yes,Often,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Public data repositories cannot handle large-scale seismic data. IRIS DMC in the US has rejected requests by me and collaborators for data above 10 TB (in large part because of their mandate to maintain all data immediately-ish available in full resolution in perpetuity).,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,It's not possible to reproduce results if no similar data or data products are available. ,Yes,Yes,Yes,Maybe,Maybe,Maybe,Yes,Maybe,For software and methods projects- outline a reproducibility framework before starting the project.,Yes,Yes,Maybe,Maybe,No,Setup a server (either maintain their own hardware or rent cloud time) for small-to-mid-scale reproducibility testing that reviewers can use. 
2020/06/02 5:20:23 PM GMT+1,Geology,Industry,Mining & Quarrying,"Masters (MSci, MSc, MS)",Oct-15,Yes (regularly),Yes (sometimes),Yes (major),5,No,,No,,No,,No,Often,Often,Sometimes,Often,Often,Often,Often,Often,,Often,Often,Often,Often,Often,Often,Often,Often,Often,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
2020/06/02 5:20:52 PM GMT+1,Geology,Government,"Research, Teaching and Communication;Mining & Quarrying;Oil & Gas","Masters (MSci, MSc, MS)",20+,Yes (sometimes),Yes (sometimes),Yes (minor),8,Yes,The reproduction was nearly identical to the original results.,Yes,Reproducibilty was higher when using software rather than hand-drawn maps and cross sections.,No,,No,Often,Often,Often,Sometimes,Rarely,Often,Often,Often,,Often,Often,Often,Often,Often,Sometimes,Often,Often,Rarely,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Maybe,Maybe,Yes,Yes,
2020/06/02 5:29:10 PM GMT+1,Geophysics,Industry,Oil & Gas,"Masters (MSci, MSc, MS)",15-20,Yes (sometimes),Yes (sometimes),Yes (major),6,Yes,"Reprocessing of data for comparison with new processing algorithms, e.g. comparing original processing vintage with new processing vintage. Generally successful, even though documentation issues, e.g. not all parameters described. 

Re-interpretation or re-production of interpretations by others. Generally a lot more challenged (much higher level of individual experience/bias). Also, simple issues as naming conventions make this very questionable.",Yes,"Generally tended to fail, primarily due to insufficient documentation (publication not providing sufficient description due to confidentiality, so a lot of assumptions had to be made)",No,,No,Often,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Often,"Often, results have at least some cross-disciplin component which also raises issues of naming conventions which may not be always the ""correct"" one.",Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,,Yes,Maybe,Yes,Maybe,Maybe,Maybe,Yes,No,,Yes,Maybe,Maybe,Yes,Maybe,
2020/06/02 5:31:26 PM GMT+1,Geophysics,Academia,"Research, Teaching and Communication;Oil & Gas;Natural Hazards & Risk",Post-Doctoral,Oct-15,Yes (regularly),Yes (regularly),Yes (major),1,Yes,Sometimes I reproduce a figure or do a similar Data analysis.,Yes,"Reproduce others figures, I often used Madagascar seismic.",No,,Yes,Often,Often,Often,,,Often,Often,Often,documented code,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,,Yes,Maybe,Yes,Maybe,Maybe,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
2020/06/02 5:37:16 PM GMT+1,Geology,Industry,Oil & Gas,"Masters (MSci, MSc, MS)",20+,Yes (sometimes),No,Yes (minor),6,No,,No,,No,,No,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,,Sometimes,Sometimes,Sometimes,,,Often,Often,Sometimes,Rarely,,Yes,Maybe,Maybe,Yes,Yes,Yes,Maybe,Maybe,,Yes,Yes,Yes,Yes,Maybe,
2020/06/02 5:39:23 PM GMT+1,Geophysics,Industry,Renewable Energy,"Bachelors (BSc, BS)",20+,Yes (regularly),No,Yes (major),3,Yes,I have attempted parallel workflows on multiple interpretation platforms with variable success.,Yes,"My attempts at following published results fall into various categories such as structural interpretation based on common seismic volumes that have different processing flows.  I have also reworked interpretations from published research that investigated a subset of a larger volume.  The difficulties are numerous.  Velocities for depth conversion present particular challenges.  Simple things such as handling replacement velocities in shallow section 
of land data create challenges final depth model comparison.  ",No,,Yes,Often,Often,Often,Often,Sometimes,Often,Often,Often,Documented workflows are rare when looking at publications.  Code and sample datasets are great starting points however even code available through github is still problematic with implementation specific debugging required.,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,,Yes,Maybe,Yes,Maybe,Maybe,Maybe,Maybe,No,,No,No,No,No,No,
2020/06/02 5:40:04 PM GMT+1,Geology,Academia;Government,"Research, Teaching and Communication;Renewable Energy;Engineering Geology;Environmental Geology and Contaminated Land;Hydrogeology;Natural Hazards & Risk",Doctoral (PhD),20+,Yes (sometimes),Yes (regularly),Yes (minor),8,Yes,Rerunning models and simulations.,No,,No,,No,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Often,Rarely,,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Rarely,,Yes,Yes,Yes,Maybe,Maybe,No,Maybe,No,,Maybe,Yes,Maybe,Yes,No,
2020/06/02 5:48:59 PM GMT+1,Geophysics,Research,Oil & Gas,"Bachelors (BSc, BS)",0-5,Yes (sometimes),Yes (sometimes),Yes (minor),7,Yes,I reproduce my own BSc thesis research in carbon capture and storage using Python and created a repository in GitHub and working program to apply all the theoretical discussions presented in the research. ,Yes,I reproduced two papers from Altmann (2010) about reservoir stress path and Bond (1943) about anisotropy rotation tensor with Python,No,,Yes,Sometimes,Often,Rarely,Sometimes,Often,Often,Sometimes,Often,"Most data are obsolete and old, for instance vintage seismic section that is very hard to be processed digitally using modern softwares. Also most seismic data in publications never come with details such as coordinates so it's a bit hard to trace the details, most because of data confidentiality. ",Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,,Yes,Yes,Yes,Maybe,No,Yes,Maybe,Maybe,,Maybe,Yes,Yes,Yes,Maybe,
2020/06/02 6:08:23 PM GMT+1,Geology,Government,"Research, Teaching and Communication",Doctoral (PhD),20+,Yes (regularly),Yes (sometimes),Yes (minor),5,Yes,,Yes,,No,,Yes,Often,Often,Often,Rarely,Sometimes,Often,Sometimes,Rarely,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Rarely,,Yes,Maybe,Yes,Maybe,Maybe,Maybe,Yes,Maybe,,Yes,Yes,Maybe,Maybe,Maybe,
2020/06/02 6:08:23 PM GMT+1,Geophysics,Academia,"Research, Teaching and Communication",Post-Doctoral,Oct-15,Yes (sometimes),Yes (regularly),Yes (major),2,Yes,Have re-run computational experiments or modified them for a new purpose several times with varying degrees of success.,Yes,Routinely implement methods from papers and try to compare against results. Recently developed some material for a geodynamics class and recreated models/plots from classic textbooks.,No,,Yes,Often,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes;Rarely,Lack of incentive for authors to prioritize investing a lot of time for the work required.,Sometimes,Often,Sometimes,Sometimes,Often,Often,Often,Often,Rarely,,Yes,Maybe,Yes,Yes,Maybe;No,Yes,Maybe;No,Maybe,"Incentives for academics to do it. Without this, most won't bother because they have another paper/grant/class to write.",Yes,Yes,Yes,Yes,Maybe,"Requirement to publish code (if written) and derived data (better if original). And refuse to publish without this. If you don't want to say/show us what you did, then publishing is not for you."
2020/06/02 6:08:25 PM GMT+1,Geology & Geophysics,Academia;Industry,"Research, Teaching and Communication;Oil & Gas;Renewable Energy",Post-Doctoral,Oct-15,Yes (sometimes),Yes (regularly),Yes (major),8,No,,No,,No,,No,Often,Often,Often,Often,Sometimes,Often,Often,Often,,Sometimes,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
2020/06/02 6:50:18 PM GMT+1,Geology,Industry,Oil & Gas,Doctoral (PhD),Oct-15,Yes (regularly),Yes (regularly),Yes (major),6,Yes,"Cannot specify, confidential ",No,,Yes,repeoducability of paleostress results using different methods or by bootstrapping the input data.,No,Sometimes,Often,Rarely,Rarely,Rarely,Often,Often,Often,"(confirmation) Bias,  or serendipity when the initial results are not interpreted by me",Often,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Rarely,,Yes,Yes,Yes,Maybe,Yes,Maybe,Yes,No,,Yes,No,Yes,Yes,Maybe,
2020/06/02 6:51:43 PM GMT+1,Geology,Research/Consulting,Mining & Quarrying;Oil & Gas;Renewable Energy,"Masters (MSci, MSc, MS)",5-Oct,Yes (regularly),No,Yes (major),2,No,,No,,No,,Yes,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Often,Rarely,Rarely,,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
2020/06/02 6:53:29 PM GMT+1,Geology,Government,Hydrogeology,"Masters (MSci, MSc, MS)",15-20,Yes (sometimes),Yes (sometimes),Unsure,5,No,,No,,No,,No,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Rarely,,Yes,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,Peer review should not be conducted by frequent or close collaborators,Yes,Yes,Maybe,Yes,Maybe,
2020/06/02 7:07:10 PM GMT+1,Environmental / Global Change Analytics,Industry,Global Change Risk,Doctoral (PhD),20+,Yes (regularly),Yes (sometimes),Yes (major),4,Yes,Apply same work flows for different geography and/or scale and/or environment...,Yes,Hard to do,No,,No,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,,Often,Often,Often,Often,Often,Sometimes,Rarely,Often,Rarely,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
2020/06/02 7:11:21 PM GMT+1,Geophysics,Industry,Oil & Gas,"Masters (MSci, MSc, MS)",5-Oct,Yes (sometimes),Yes (sometimes),Yes (major),3,Yes,"Similar projects, different data",Yes,Tried implementing published methods,No,,Yes,Often,Sometimes,Often,Rarely,Rarely,Rarely,Sometimes,Rarely,,Often,Often,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,,Yes,Yes,Maybe,Maybe,Yes,Maybe,Maybe,Maybe,,Yes,Yes,Yes,Yes,Maybe,
2020/06/02 7:34:38 PM GMT+1,Geology,Industry,Oil & Gas,Post-Doctoral,15-20,Yes (regularly),Yes (sometimes),Yes (minor),6,No,,No,,,,No,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Often,,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,,No,Yes,Yes,Yes,Yes,Maybe,No,No,,Yes,Yes,Yes,Maybe,No,
2020/06/02 7:43:24 PM GMT+1,Geology & Geophysics,Industry,Oil & Gas,Post-Doctoral,5-Oct,Yes (sometimes),Yes (sometimes),Yes (major),3,Yes,,Yes,,No,,No,Often,Often,Often,Rarely,Rarely,Often,Often,Sometimes,,Often,Often,Often,Often,Sometimes,Often,Often,Sometimes,Sometimes,,Yes,Yes,Yes,Maybe,Maybe,Maybe,Yes,Maybe,,Yes,Yes,Maybe,Yes,Maybe,
2020/06/02 8:04:31 PM GMT+1,Geology & Geophysics,Industry,"Research, Teaching and Communication;Oil & Gas","Masters (MSci, MSc, MS)",5-Oct,Yes (regularly),No,Yes (minor),7,Yes,,Yes,,No,,No,Often;Sometimes,Often,Often,Sometimes,Rarely,Often,Sometimes,Rarely,,,,,,,,,,,,Maybe,Maybe,Yes,Yes,Maybe,Maybe,Maybe,,,Maybe,Yes,Maybe,Maybe,Maybe,
2020/06/02 8:31:56 PM GMT+1,Geology,Industry,Mining & Quarrying,Post-Doctoral,Oct-15,Yes (regularly),Yes (sometimes),Yes (major),2,No,,No,,No,,Yes,Often,Sometimes,Often,Sometimes,Often,Often,Often,Rarely,,Often,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,,Yes,Yes,Yes,Maybe,Yes,Maybe,Yes,Maybe,,Yes,No,Maybe,Yes,Maybe,
2020/06/02 8:47:41 PM GMT+1,Geology,Academia,"Research, Teaching and Communication","Masters (MSci, MSc, MS)",5-Oct,Yes (regularly),No,Yes (major),5,No,,No,,No,,Yes,Often,Often,Often,Sometimes,Often,Often,Often,Often,,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,,Yes,Yes,Maybe,Maybe,Yes,Yes,Yes,Maybe,,Yes,Yes,Yes,Yes,Maybe,
2020/06/02 8:59:27 PM GMT+1,Geology,Academia,"Research, Teaching and Communication;Oil & Gas","Bachelors (BSc, BS)",0-5,Yes (sometimes),No,Yes (major),10,No,,No,,No,,No,Rarely,Rarely,Sometimes,Rarely,Sometimes;Rarely,Rarely,Rarely,Rarely,,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,,Yes;No,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe,,No,No,No,No,No,
2020/06/02 9:08:05 PM GMT+1,Geology,Industry,Mining & Quarrying;Oil & Gas,Post-Doctoral,15-20,Yes (regularly),No,Yes (minor),4,No,,No,,No,,No,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,,Yes,Yes,Yes,Yes,Yes,Maybe,Maybe,Maybe,,Yes,Yes,Maybe,Maybe,Maybe,
